Comment,Designator,Footprint,LCSC
"WS2812B","D1,D2","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2874885"
"Conn_01x03_Male","JIN1,JOUT1","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
